"","tokenid","token","lemma","pos1","pos2","feat","headid","deprel","other1","other2"
"1",1,"сайт","сайт","N","N","Ncmsnn",3,"вспом","_","_"
"2",2,"территория","территория","N","N","Ncfsnn",1,"аппоз","_","_"
"3",3,"рынок","рынок","N","N","Ncmsan",36,"1-компл","_","_"
"4",4,"работа","работа","N","N","Ncfsnn",5,"предик","_","_"
"5",5,"основа","основа","N","N","Ncfsnn",3,"подч-союзн","_","_"
"6",6,"место","место","N","N","Ncnsan",5,"квазиагент","_","_"
"7",7,"внимание","внимание","N","N","Ncnsan",5,"сочин","_","_"
"8",8,"протяжение","протяжение","N","N","Ncnsan",7,"сочин","_","_"
"10",10,"база","база","N","N","Ncfsnn",9,"соч-союзн","_","_"
"11",11,"основание","основание","N","N","Ncnsan",3,"1-компл","_","_"
"12",12,"земля","земля","N","N","Ncfsnn",3,"аппоз","_","_"
"13",13,"уровень","уровень","N","N","Ncmsnn",36,"3-компл","_","_"
"14",14,"заказ","заказ","N","N","Ncmsan",13,"квазиагент","_","_"
"15",15,"вопрос","вопрос","N","N","Ncmsan",13,"кратн","_","_"
"17",17,"влияние","влияние","N","N","Ncnsan",20,"1-компл","_","_"
"21",21,"тема","тема","N","N","Ncfsnn",20,"предик","_","_"
"22",22,"страница","страница","N","N","Ncfsnn",21,"аппоз","_","_"
"28",28,"дом","дом","N","N","Ncmsan",30,"3-компл","_","_"
"29",29,"поверхность","поверхность","N","N","Ncfsan",28,"квазиагент","_","_"
"31",31,"воздействие","воздействие","N","N","Ncnsan",30,"1-компл","_","_"
"35",35,"затрата","затрат","N","N","Ncmsgn",34,"присвяз","_","_"
"38",38,"заявка","заявка","N","N","Ncfsnn",51,"пролепт","_","_"
"41",41,"человек","человек","N","N","Ncmsny",51,"предик","_","_"
"43",43,"рука","рука","N","N","Ncfsnn",45,"предик","_","_"
"45",45,"расход","расход","N","N","Ncmsan",41,"атриб","_","_"
"46",46,"день","день","N","N","Ncmsan",48,"обст","_","_"
"47",47,"деньги","деньги","N","N","Ncmpan",48,"1-компл","_","_"
"49",49,"русский","русский","N","N","Ncmsny",48,"1-компл","_","_"
"51",51,"средство","средство","N","N","Ncnsnn",37,"соч-союзн","_","_"
"55",55,"вид","вид","N","N","Ncmsan",53,"1-компл","_","_"
"56",56,"дорога","дорога","N","N","Ncfsnn",55,"квазиагент","_","_"
"57",57,"берег","берег","N","N","Ncmsan",36,"разъяснит","_","_"
"58",58,"практика","практика","N","N","Ncfsnn",57,"квазиагент","_","_"
"59",59,"предприятие","предприятие","N","N","Ncnsnn",36,"вводн","_","_"
"61",61,"спрос","спрос","N","N","Ncmsnn",68,"предик","_","_"
"66",66,"стена","стена","N","N","Ncfsnn",64,"соч-союзн","_","_"
"68",68,"свет","свет","N","N","Ncmsnn",36,"разъяснит","_","_"
"69",69,"участок","участок","N","N","Ncmsan",68,"квазиагент","_","_"
"70",70,"кожа","кожа","N","N","Ncfsnn",69,"квазиагент","_","_"
"71",71,"лицо","лицо","N","N","Ncnsan",135,"огранич","_","_"
"72",72,"нагрузка","нагрузка","N","N","Ncfsnn",135,"предик","_","_"
"74",74,"путь","путь","N","N","Ncmsan",73,"1-компл","_","_"
"75",75,"объект","объект","N","N","Ncmsan",73,"2-компл","_","_"
"77",77,"счет","счет","N","N","Ncmsan",73,"1-компл","_","_"
"78",78,"выход","выход","N","N","Ncmsan",135,"огранич","_","_"
"79",79,"разрешение","разрешение","N","N","Ncnsan",135,"предик","_","_"
"82",82,"отдых","отдых","N","N","Ncmsan",79,"1-компл","_","_"
"83",83,"налог","налог","N","N","Ncmsan",79,"сочин","_","_"
"84",84,"производство","производство","N","N","Ncnsan",83,"1-компл","_","_"
"85",85,"вода","вода","N","N","Ncfsnn",83,"аппоз","_","_"
